?x	?label
_:B1f6f7972X2D46d1X2D4ce6X2Dad36X2Df1e041e0e394genid107	
_:B1f6f7972X2D46d1X2D4ce6X2Dad36X2Df1e041e0e394genid115	
_:B1f6f7972X2D46d1X2D4ce6X2Dad36X2Df1e041e0e394genid120	
_:B1f6f7972X2D46d1X2D4ce6X2Dad36X2Df1e041e0e394genid136	
_:B1f6f7972X2D46d1X2D4ce6X2Dad36X2Df1e041e0e394genid90	
_:B1f6f7972X2D46d1X2D4ce6X2Dad36X2Df1e041e0e394genid99	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000008>	"temporal region"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/HDRN_0000002>	"HDRN human biological sex information content entity"
<http://purl.obolibrary.org/obo/HDRN_0000003>	"HDRN human birth temporal information"
<http://purl.obolibrary.org/obo/HOSO_0000019>	"public provincial health identifier"
<http://purl.obolibrary.org/obo/HOSO_0000060>	"public provincial health insurance record"
<http://purl.obolibrary.org/obo/HOSO_0000061>	"primary health insurance beneficiary human role"
<http://purl.obolibrary.org/obo/HOSO_0000062>	"primary health insurance beneficiary human"
<http://purl.obolibrary.org/obo/IAO_0000005>	"objective specification"
<http://purl.obolibrary.org/obo/IAO_0000007>	"action specification"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"
<http://purl.obolibrary.org/obo/IAO_0000104>	"plan specification"
<http://purl.obolibrary.org/obo/IAO_0020000>	"identifier"
<http://purl.obolibrary.org/obo/IAO_0020010>	"identifier creating process"
<http://purl.obolibrary.org/obo/IOIO_0000001>	"human birth statement"
<http://purl.obolibrary.org/obo/IOIO_0000005>	"human birth temporal information"
<http://purl.obolibrary.org/obo/IOIO_0000010>	"biological sex information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000011>	"human biological sex information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000012>	"human biological sex or gender identity information content entity"
<http://purl.obolibrary.org/obo/IOIO_0000013>	"organism identifier"
<http://purl.obolibrary.org/obo/IOIO_0000014>	"human identifier"
<http://purl.obolibrary.org/obo/IOIO_0000015>	"human biological sex statement"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"Eukaryota"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"Homo sapiens"
<http://purl.obolibrary.org/obo/OBI_0000011>	"planned process"
<http://purl.obolibrary.org/obo/OBI_0100026>	"organism"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000030>	"temporally qualifying statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000031>	"process temporally qualifying statement"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000054>	"specified value"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000057>	"unit"
<http://purl.obolibrary.org/obo/OpenLHS-Core_0000065>	"temporal information"
<http://purl.obolibrary.org/obo/SEPIO_0000174>	"statement"
